Código,Região,UF,nome_meso,nome_micro,Município,IFDM,Educação,Emprego e Renda,Saúde,desenvolvimento
140002,Norte,RR,Norte de Roraima,Boa Vista,AMAJARI,0.4324263991102658,0.5384996194154942,0.3577027968863921,0.4010767810289114,Regular
140005,Norte,RR,Norte de Roraima,Boa Vista,ALTO ALEGRE,0.4846448782630526,0.5999181660246022,0.4381410759299707,0.4158753928345851,Regular
140010,Norte,RR,Norte de Roraima,Boa Vista,BOA VISTA,0.765502128097901,0.7575933638159146,0.7166212777500492,0.8222917427277392,Moderado
140015,Norte,RR,Norte de Roraima,Nordeste de Roraima,BONFIM,0.5432815539259725,0.5588862567887336,0.4305134518921479,0.6404449530970362,Regular
140017,Norte,RR,Norte de Roraima,Nordeste de Roraima,CANTÁ,0.0,0.5880887964490329,0.0,0.6911348676099458,Baixo
140020,Norte,RR,Sul de Roraima,Caracaraí,CARACARAÍ,0.53579908591533,0.6263975636788657,0.4655436019891128,0.5154560920780116,Regular
140023,Norte,RR,Sul de Roraima,Sudeste de Roraima,CAROEBE,0.5066768088706967,0.6563573169444201,0.2507594767183049,0.6129136329493651,Regular
140028,Norte,RR,Sul de Roraima,Caracaraí,IRACEMA,0.5598396680560007,0.5611186184911676,0.3857259491192679,0.7326744365575666,Regular
140030,Norte,RR,Sul de Roraima,Caracaraí,MUCAJAÍ,0.6181245430342105,0.7199666562643668,0.4557558498727823,0.6786511229654824,Moderado
140040,Norte,RR,Norte de Roraima,Nordeste de Roraima,NORMANDIA,0.460539481140033,0.5746349034778322,0.3323298472666698,0.4746536926755971,Regular
140045,Norte,RR,Norte de Roraima,Boa Vista,PACARAIMA,0.5522966706107872,0.5884466513878279,0.4322591755588151,0.6361841848857189,Regular
140047,Norte,RR,Sul de Roraima,Sudeste de Roraima,RORAINÓPOLIS,0.6105496422579614,0.6931404286829124,0.4402203580628432,0.6982881400281287,Moderado
140050,Norte,RR,Sul de Roraima,Sudeste de Roraima,SÃO JOÃO DA BALIZA,0.5371289299679903,0.659740170967741,0.3713413509282595,0.5803052680079707,Regular
140060,Norte,RR,Sul de Roraima,Sudeste de Roraima,SÃO LUIZ,0.5066716296159631,0.6735393961780516,0.1877407069821409,0.6587347856876969,Regular
140070,Norte,RR,Norte de Roraima,Nordeste de Roraima,UIRAMUTÃ,0.5020205382940596,0.4778325232165658,0.4278442215764701,0.6003848700891428,Regular
150010,Norte,PA,Nordeste Paraense,Cametá,ABAETETUBA,0.526091558691528,0.693361704601869,0.4833435699373575,0.4015694015353575,Regular
150013,Norte,PA,Sudeste Paraense,Paragominas,ABEL FIGUEIREDO,0.5501023950295513,0.6966770426480451,0.4189403359232143,0.5346898065173945,Regular
150020,Norte,PA,Nordeste Paraense,Tomé-Açu,ACARÁ,0.5291598283227836,0.592214354323233,0.3620607828141108,0.633204347831007,Regular
150030,Norte,PA,Marajó,Furos de Breves,AFUÁ,0.4501842149086124,0.4800083716098091,0.3273439434984556,0.5432003296175725,Regular
150034,Norte,PA,Sudeste Paraense,Parauapebas,ÁGUA AZUL DO NORTE,0.4369778910690232,0.5874105085176538,0.3142917033095243,0.4092314613798917,Regular
150040,Norte,PA,Baixo Amazonas,Santarém,ALENQUER,0.5370689705925411,0.5878881926764686,0.4072208323345618,0.616097886766593,Regular
150050,Norte,PA,Baixo Amazonas,Almeirim,ALMEIRIM,0.5666409963794607,0.4655651049776895,0.5579997640411996,0.6763581201194935,Regular
150060,Norte,PA,Sudoeste Paraense,Altamira,ALTAMIRA,0.6176601541311837,0.7267471812310279,0.4610794274870611,0.6651538536754624,Moderado
150070,Norte,PA,Marajó,Furos de Breves,ANAJÁS,0.0,0.4449680286360092,0.0,0.6208507567566843,Baixo
150080,Norte,PA,Metropolitana de Belém,Belém,ANANINDEUA,0.6599273367450837,0.6760059077624707,0.5925514785909894,0.711224623881791,Moderado
150085,Norte,PA,Sudoeste Paraense,Altamira,ANAPU,0.466357013976454,0.5311790281996888,0.4968644347490503,0.3710275789806229,Regular
150090,Norte,PA,Nordeste Paraense,Bragantina,AUGUSTO CORRÊA,0.5123414440022835,0.5711153549171117,0.4182488731180207,0.5476601039717183,Regular
150095,Norte,PA,Nordeste Paraense,Guamá,AURORA DO PARÁ,0.4982370667895097,0.5662777877471916,0.4567270633875007,0.4717063492338369,Regular
150100,Norte,PA,Sudoeste Paraense,Itaituba,AVEIRO,0.4664621585366813,0.5464096486225732,0.3797478850316406,0.4732289419558301,Regular
150110,Norte,PA,Marajó,Portel,BAGRE,0.4914238848943265,0.4156308701879622,0.3857416029651314,0.672899181529886,Regular
150120,Norte,PA,Nordeste Paraense,Cametá,BAIÃO,0.4248194517953002,0.541943843894512,0.2243975144943512,0.5081169969970374,Regular
150125,Norte,PA,Sudeste Paraense,São Félix do Xingu,BANNACH,0.5899647983503773,0.6115689002873876,0.5620770073479981,0.5962484874157463,Regular
150130,Norte,PA,Metropolitana de Belém,Belém,BARCARENA,0.696279557085844,0.6250720824985672,0.7026364865992467,0.7611301021597183,Moderado
150140,Norte,PA,Metropolitana de Belém,Belém,BELÉM,0.6917619912176663,0.666804124828323,0.673372556668745,0.7351092921559312,Moderado
150145,Norte,PA,Baixo Amazonas,Santarém,BELTERRA,0.6030491877787173,0.6675562148749562,0.5364187916190126,0.6051725568421831,Moderado
150150,Norte,PA,Metropolitana de Belém,Belém,BENEVIDES,0.6622046825931742,0.7083673134803121,0.5221068425329194,0.7561398917662914,Moderado
150157,Norte,PA,Sudeste Paraense,Paragominas,BOM JESUS DO TOCANTINS,0.578873914436757,0.5990433637854716,0.4176582981980977,0.7199200813267016,Regular
150160,Norte,PA,Nordeste Paraense,Bragantina,BONITO,0.6237248990400714,0.5746574041796773,0.5222086333440482,0.7743086595964889,Moderado
150170,Norte,PA,Nordeste Paraense,Bragantina,BRAGANÇA,0.5655343843974667,0.6102673044651696,0.4771013327609538,0.6092345159662769,Regular
150172,Norte,PA,Sudoeste Paraense,Altamira,BRASIL NOVO,0.5598073196380845,0.6836636594031551,0.3712528366195653,0.6245054628915332,Regular
150175,Norte,PA,Sudeste Paraense,Marabá,BREJO GRANDE DO ARAGUAIA,0.4885771565891824,0.6831857776437334,0.4822091049021323,0.3003365872216816,Regular
